Filename,Energy,Num atoms,"Energy per atom, eV",Composition
old_9,-203.44,30,-6.78,Mo10S20
old_8,-203.61,30,-6.79,Mo10S20
old_7,-202.69,30,-6.76,Mo10S20
old_6,-200.39,30,-6.68,Mo10S20
old_5,-201.79,30,-6.73,Mo10S20
old_4,-203.05,30,-6.77,Mo10S20
old_3,-203.25,30,-6.77,Mo10S20
old_29,-203.47,30,-6.78,Mo10S20
old_28,-203.01,30,-6.77,Mo10S20
old_26,-201.24,30,-6.71,Mo10S20
old_25,-200.04,30,-6.67,Mo10S20
old_24,-198.76,30,-6.63,Mo10S20
old_23,-201.15,30,-6.70,Mo10S20
old_22,-200.37,30,-6.68,Mo10S20
old_21,-198.31,30,-6.61,Mo10S20
old_20,-203.64,30,-6.79,Mo10S20
old_2,-203.68,30,-6.79,Mo10S20
old_19,-204.43,30,-6.81,Mo10S20
old_18,-203.85,30,-6.79,Mo10S20
old_17,-197.57,30,-6.59,Mo10S20
old_16,-203.23,30,-6.77,Mo10S20
old_15,-202.01,30,-6.73,Mo10S20
old_14,-201.84,30,-6.73,Mo10S20
old_13,-202.34,30,-6.74,Mo10S20
old_12,-198.98,30,-6.63,Mo10S20
old_11,-197.47,30,-6.58,Mo10S20
old_10,-202.45,30,-6.75,Mo10S20
old_1,-201.55,30,-6.72,Mo10S20
old_0,-203.99,30,-6.80,Mo10S20
Deleted_19,-202.03,29,-6.97,Mo10S20
Deleted_15_20_17,-192.26,27,-7.12,Mo10S20
Deleted_15_20,-197.65,28,-7.06,Mo10S20
Deleted_14_19,-194.72,28,-6.95,Mo10S20
Deleted_14,-201.56,29,-6.95,Mo10S20
