;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20
Mo1;"-8,9571";"-8,7825";"-9,158";"-10,1346";"-10,7415";"-11,6237";"-12,074";"-12,4834";"-12,7702";"-13,1944";"-13,1318";"-13,2834";"-13,3417";"-13,2457";"-13,1653";"-12,5489";"-12,4298";"-12,5886";"-12,6912";"-12,8758"
Mo2;"-6,1116";"-0,0771";"-0,1149";"-0,2575";"0,1691";"0,5373";"0,1334";"0,2422";"-0,0065";"0,1596";"-0,1305";"0,239";"0,1175";"-0,194";"0,0273";"-0,7285";"-0,8733";"-0,66";"-0,4282";"-0,3192"
Mo3;"-7,0051";"0,0621";"-0,3314";"0,7873";"0,0638";"-1,3844";"0,2593";"0,0816";"0,0954";"0,2435";"-0,2286";"-0,1598";"0,6068";"0,4255";"-0,3016";"-0,223";"0,0969";"-0,0091";"-0,1212";"0,4384"
Mo4;"-6,8213";"-0,1545";"-0,3435";"0,4099";"-0,8066";"3,4835";"-0,3751";"0,1704";"-0,8326";"0,5873";"0,7734";"-0,4297";"-0,8778";"-0,498";"0,2239";"0,0725";"0,0881";"0,5009";"-0,2715";"-0,8117"
Mo5;"-6,6241";"-0,846";"-0,6672";"-1,5993";"-1,8259";"-1,4731";"-0,3001";"-1,5314";"0,4859";"-0,8729";"0,9332";"-0,1609";"0,0443";"-0,173";"-0,2418";"-0,3742";"-0,3384";"-0,2795";"-0,2047";"0,5122"
Mo6;"-6,9062";"-0,3862";"-0,523";"1,1854";"0,0112";"-0,2599";"0,1334";"2,5052";"-0,1031";"-1,1727";"-0,9747";"-0,4448";"-0,3107";"1,508";"-1,0441";"0,8225";"-0,1992";"0,1966";"-0,337";"0,9435"
Mo7;"-7,0615";"-0,1123";"-0,0722";"-0,062";"-0,2514";"-0,4281";"0,0221";"-1,6292";"0,7082";"1,555";"-0,6381";"-0,1357";"-0,1212";"0,1998";"-2,4808";"1,98";"0,1244";"-0,0417";"-0,5164";"-0,3195"
Mo8;"-7,2019";"-1,8054";"-1,2772";"-1,378";"-1,5268";"-1,1559";"-2,2156";"-1,3583";"-1,8404";"-1,0666";"-0,5913";"0,5885";"-0,2805";"-0,6668";"-1,4709";"-0,9958";"1,4208";"-0,7215";"0,89";"0,6146"
Mo9;"-7,7278";"0,7332";"-0,3104";"0,0442";"1,1814";"-1,2957";"0,2152";"1,3187";"-0,7285";"0,4887";"1,2696";"-0,1633";"0,2834";"-0,1558";"0,1978";"-1,4517";"-1,9759";"0,3868";"1,5543";"1,2264"
Mo10;"-7,0918";"-1,1707";"-0,383";"-0,0971";"-0,8282";"-0,2036";"-0,1462";"-1,6059";"-0,3475";"-1,2752";"-0,4439";"0,4706";"0,4465";"0,6215";"-1,4276";"1,4432";"0,0073";"-2,0738";"-2,0189";"-0,1639"
Mo11;"-6,9504";"-0,3597";"-0,4586";"-0,4427";"-0,6869";"0,0619";"-0,0953";"0,4658";"-0,6782";"0,3931";"-1,2504";"-0,0582";"-0,7021";"-1,2932";"-0,304";"-0,8647";"-0,4581";"0,896";"0,1068";"0,5186"
Mo12;"-6,9751";"-0,6752";"0,0297";"-0,4412";"0,1429";"-1,5806";"-1,7195";"-0,7433";"-1,2624";"-2,4284";"0,6566";"-0,5843";"1,1015";"0,973";"-0,1349";"-0,4131";"-0,0451";"-1,1096";"-1,7861";"-1,2784"
Mo13;"-7,3438";"-0,1695";"0,1837";"-1,6644";"-0,5061";"1,5221";"0,2808";"0,0995";"-0,3321";"-2,1993";"2,5734";"0,3425";"-0,9";"-0,2145";"-0,0549";"1,0592";"0,217";"-0,2339";"-0,199";"-0,1212"
Mo14;"-7,2122";"-0,1349";"-0,2155";"-0,5208";"0,7522";"-1,0005";"-0,493";"0,5495";"0,424";"-0,9346";"-1,3141";"-1,171";"0,9497";"-0,8184";"0,339";"-0,0031";"-1,6548";"0,6872";"-0,4153";"0,4483"
Mo15;"-7,3727";"0,2528";"-0,7367";"0,4373";"0,9401";"-1,0079";"0,0412";"0,5347";"0,6365";"-0,2546";"-1,5246";"2,1013";"-0,1191";"-1,1926";"0,9879";"-0,0068";"1,8825";"-0,4391";"0,5761";"4,2637"
