;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20
Mo1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mo2;0;"5,1366";"5,0153";"4,5195";"4,5554";"4,0058";"3,8804";"3,217";"2,716";"1,8169";"1,619";"1,5516";"1,3647";"0,9614";"0,7423";"0,3837";"0,4814";"0,5624";"0,5486";"0,404"
Mo3;0;"5,0391";"5,3311";"6,1291";"5,9698";"5,9332";"5,3902";"4,29";"3,6578";"3,3562";"2,4065";"2,2154";"2,3175";"2,0102";"1,3222";"0,9293";"0,8406";"0,6813";"0,3916";"0,3156"
Mo4;0;"4,8795";"5,7437";"6,5823";"6,5821";"8,0119";"6,2388";"5,057";"3,7404";"3,7279";"3,5966";"2,2873";"1,9369";"1,8289";"1,8248";"1,7514";"1,5547";"1,0212";"0,2863";0
Mo5;0;"5,7593";"6,0019";"6,287";"5,6241";"6,0585";"4,4846";"3,2592";"2,8171";"2,5161";"2,6834";"2,7783";"2,9092";"2,8364";"2,0721";"1,9322";"1,7854";"1,8053";"1,6399";"1,4367"
Mo6;0;"6,4081";"6,9894";"7,6683";"7,1397";"6,8491";"6,0118";"6,6455";"4,7207";"3,2735";"2,402";"2,1344";"2,6691";"3,6479";"3,0477";"3,245";"2,9256";"2,6164";"2,2381";"2,4266"
Mo7;0;"6,5482";"6,8158";"6,7694";"5,6184";"5,4923";"5,8055";"4,9952";"4,837";"4,4297";"2,9642";"2,4726";"2,2132";"2,6681";"1,9426";"3,7933";"3,4381";"2,8996";"1,9814";"2,0486"
Mo8;0;"5,9239";"6,2107";"6,262";"5,8332";"5,6803";"5,6852";"5,8493";"5,0771";"5,2708";"3,8015";"1,5621";"1,8939";"1,9636";"1,5629";"1,8005";"3,0666";"3,2892";"3,6518";"2,857"
Mo9;0;"7,5667";"7,4998";"7,6191";"7,6458";"6,846";"7,744";"8,1599";"7,0786";"7,3621";"6,7917";"4,2593";"3,0919";"2,6279";"1,9654";"1,9396";"1,4253";"3,0425";"4,112";"3,5881"
Mo10;0;"5,6745";"5,4929";"5,8963";"5,3422";"5,1203";"6,0255";"5,2301";"4,7583";"4,7705";"5,3828";"5,1831";"3,7064";"1,9166";"2,0105";"3,1721";"2,7935";"2,0946";"2,041";"1,7084"
Mo11;0;"5,7669";"5,3492";"5,5597";"5,2268";"5,3398";"6,1785";"5,8812";"4,9979";"5,8411";"6,1035";"6,5178";"5,3691";"4,1832";"2,6567";"1,7521";"2,3917";"2,8513";"2,354";"1,6287"
Mo12;0;"5,9501";"6,65";"6,1925";"6,232";"6,441";"5,962";"6,2343";"5,2726";"5,4989";"7,5578";"7,0866";"7,0143";"6,1365";"4,004";"2,0064";"2,6625";"1,6176";"1,1613";"1,2302"
Mo13;0;"6,3723";"6,9161";"5,7666";"6,8911";"7,7231";"7,5106";"7,1845";"6,3207";"6,0017";"7,6394";"6,3281";"5,688";"4,6456";"4,532";"3,7448";"2,3871";"2,082";"1,4742";"1,4433"
Mo14;0;"6,7073";"6,6398";"6,5713";"7,8258";"6,4577";"5,5592";"6,2893";"6,4299";"6,246";"6,6646";"4,8589";"5,4324";"5,1443";"5,8738";"5,7647";"3,7051";"3,0806";"1,9203";"1,6218"
Mo15;0;"6,7106";"6,6183";"7,1986";"7,1731";"5,6867";"5,839";"6,5375";"6,1844";"5,8519";"6,095";"5,8752";"5,7162";"5,2059";"6,177";"5,7081";"6,1501";"3,8626";"2,7399";"2,1922"
