;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20
Mo1;"-9,9321";"-16,2183";"-22,0077";"-26,8215";"-32,0399";"-36,3975";"-40,6356";"-44,7812";"-48,8072";"-52,7023";"-56,9246";"-61,0632";"-65,0561";"-68,9869";"-72,9938";"-77,3972";"-81,64";"-85,5882";"-89,5632";"-93,3726"
Mo2;"-18,8892";"-25,0008";"-31,1657";"-36,9561";"-42,7814";"-48,0212";"-52,7096";"-57,2646";"-61,5774";"-65,8967";"-70,0564";"-74,3466";"-78,3978";"-82,2326";"-86,1591";"-89,9461";"-94,0698";"-98,1768";"-102,2544";"-106,2484"
Mo3;"-26,8553";"-33,8604";"-40,4386";"-47,3482";"-53,3538";"-59,1076";"-64,3899";"-69,0791";"-73,6867";"-78,1989";"-82,4676";"-86,9649";"-91,622";"-95,6723";"-99,2971";"-103,2235";"-107,3729";"-111,4254";"-115,3738";"-119,4434"
Mo4;"-35,8366";"-42,6579";"-49,6337";"-56,953";"-63,8624";"-71,5784";"-75,8109";"-80,4185";"-84,8557";"-90,1255";"-94,808";"-98,7171";"-103,0559";"-107,5555";"-112,0636";"-116,3478";"-120,5595";"-124,6831";"-128,3058";"-132,2"
Mo5;"-44,9039";"-51,528";"-58,7515";"-65,8528";"-72,5092";"-79,853";"-85,9951";"-91,0559";"-96,4032";"-100,916";"-106,3017";"-110,7542";"-115,3676";"-119,9367";"-124,2375";"-128,7801";"-132,9909";"-137,2688";"-141,4162";"-145,7683"
Mo6;"-54,3379";"-61,2441";"-68,5365";"-76,3519";"-82,9819";"-89,6007";"-96,4794";"-103,2247";"-107,4648";"-111,808";"-116,7618";"-121,734";"-126,9571";"-132,4909";"-136,5167";"-141,5866";"-145,7607";"-150,134";"-154,3107";"-158,8244"
Mo7;"-63,7567";"-70,8182";"-77,992";"-85,238";"-91,9024";"-98,4063";"-105,3383";"-111,4067";"-117,9938";"-123,8727";"-128,1966";"-133,1586";"-138,1815";"-143,3256";"-147,2077";"-153,5706";"-157,9535";"-162,212";"-166,5122";"-170,937"
Mo8;"-72,4108";"-79,6127";"-86,961";"-94,1861";"-101,0743";"-107,5514";"-114,1751";"-121,2179";"-127,191";"-133,8022";"-139,2423";"-144,7189";"-149,2832";"-153,9605";"-157,997";"-163,5044";"-169,453";"-173,9808";"-179,2301";"-183,3691"
Mo9;"-82,4848";"-90,2126";"-97,2072";"-104,5122";"-111,773";"-117,8524";"-125,2275";"-132,3874";"-138,2286";"-144,7983";"-150,8793";"-155,6907";"-160,6654";"-165,2622";"-169,947";"-174,434";"-179,3054";"-185,3751";"-191,058";"-195,1866"
Mo10;"-90,9996";"-98,0914";"-105,6376";"-113,0356";"-119,7865";"-126,8254";"-134,0168";"-140,3897";"-147,0778";"-153,3762";"-160,1132";"-166,3622";"-171,7642";"-176,7197";"-181,0537";"-186,8153";"-191,1337";"-195,4448";"-200,5765";"-205,7777"
Mo11;"-100,1905";"-107,1409";"-114,451";"-121,6561";"-128,6282";"-136,002";"-142,9523";"-149,9979";"-156,2745";"-163,2293";"-169,791";"-176,5631";"-182,2858";"-187,2609";"-192,2289";"-197,2032";"-202,1667";"-207,5883";"-212,1139";"-216,5327"
Mo12;"-109,0976";"-116,0727";"-123,723";"-130,7193";"-138,1568";"-145,1167";"-151,8961";"-159,1403";"-165,2026";"-171,7467";"-180,7192";"-186,8222";"-193,5095";"-199,0953";"-203,7081";"-208,4558";"-213,4832";"-217,9149";"-222,0229";"-226,7691"
Mo13;"-118,1082";"-125,452";"-132,9653";"-139,4217";"-147,5425";"-155,812";"-162,5594";"-169,026";"-175,3931";"-182,0923";"-190,9908";"-196,9794";"-202,6255";"-208,6114";"-214,339";"-220,1215";"-224,8448";"-229,3511";"-233,718";"-238,2839"
Mo14;"-127,5354";"-134,7476";"-142,0239";"-149,4687";"-157,4343";"-163,9323";"-171,3033";"-178,7808";"-185,388";"-191,5712";"-198,689";"-205,7818";"-212,6415";"-218,342";"-224,8609";"-230,7193";"-235,3967";"-241,0212";"-245,2629";"-249,9199"
Mo15;"-136,8054";"-144,1781";"-151,298";"-159,1546";"-166,5739";"-173,0531";"-180,5402";"-187,9861";"-194,8973";"-201,172";"-207,7013";"-215,7552";"-221,7078";"-227,7795";"-235,0438";"-241,3202";"-247,6034";"-252,0041";"-256,8439";"-261,1076"
